Conversacion,Perplexity
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Una película de Minecraft"" (2025)
Género: Familia, Comedia, Aventura, Fantasía
Cuatro inadaptados se encuentran ...",5.25
"Usuario: Me gustan las pelis de terror
Enrique: Otra gran opción sería esta:
""Destino final: Lazos de sangre"" (2025)
Género: Terror, Misterio, Suspense
Acosada por una violenta pesadilla recurrente, l...",4.95
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Una película de Minecraft"" (2025)
Género: Familia, Comedia, Aventura, Fantasía
Cuatro inadaptados se enc...",5.29
"Usuario: Me gustan las pelis de terror
Enrique: Esta otra podría interesarte:
""Destino final: Lazos de sangre"" (2025)
Género: Terror, Misterio, Suspense
Acosada por una violenta pesadilla recurrente, ...",4.98
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Una película de Minecraft"" (2025)
Género: Familia, Comedia, Aventura, Fantasía
Cuatro ...",4.79
"Usuario: Me gustan las pelis de terror
Enrique: Esta otra podría interesarte:
""Destino final: Lazos de sangre"" (2025)
Género: Terror, Misterio, Suspense
Acosada por una violenta pesadilla recurrente, ...",4.98
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Lilo y Stitch"" (2025)
Género: Familia, Comedia, Ciencia ficción
La conmovedora y divertidísima historia de una s...",4.6
"Usuario: Busco algo de acción
Enrique: Otra gran opción sería esta:
""A Working Man"" (2025)
Género: Acción, Crimen, Suspense
Levon Cade dejó atrás una condecorada carrera militar en las operaciones enc...",6.02
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""Lilo y Stitch"" (2025)
Género: Familia, Comedia, Ciencia ficción
La conmovedora y divertidísima historia de una solitaria ni...",5.38
"Usuario: ¿Tienes otra de acción?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""A Working Man"" (2025)
Género: Acción, Crimen, Suspense
Levon Cade dejó atrás una condecorada carrera mil...",5.33
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Lilo y Stitch"" (2025)
Género: Familia, Comedia, Ciencia ficción
La conmovedora y divertidísima historia de una s...",4.6
"Usuario: Me gustan las pelis de acción
Enrique: Esta otra podría interesarte:
""A Working Man"" (2025)
Género: Acción, Crimen, Suspense
Levon Cade dejó atrás una condecorada carrera militar en las opera...",5.8
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Blancanieves"" (2025)
Género: Familia, Fantasía
Tras la desaparición del benévolo Rey, la Reina Malvada d...",5.48
"Usuario: ¿Tienes otra de bélica?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Warfare. Tiempo de guerra"" (2025)
Género: Bélica, Acción
Basada en las experiencias reales del ex marine...",5.02
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Blancanieves"" (2025)
Género: Familia, Fantasía
Tras la desaparición del benévolo Rey, la Reina Malvada d...",5.48
"Usuario: Busco algo de bélica
Enrique: Otra gran opción sería esta:
""Warfare. Tiempo de guerra"" (2025)
Género: Bélica, Acción
Basada en las experiencias reales del ex marine Ray Mendoza (codirector y ...",5.67
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Blancanieves"" (2025)
Género: Familia, Fantasía
Tras la desaparición del benévolo Rey, la Reina Malvada dominó la otrora...",5.59
"Usuario: Me gustan las pelis de bélica
Enrique: Otra gran opción sería esta:
""Warfare. Tiempo de guerra"" (2025)
Género: Bélica, Acción
Basada en las experiencias reales del ex marine Ray Mendoza (codi...",5.49
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Misión: Imposible - Sentencia final"" (2025)
Género: Acción, Aventura, Suspense
El agente Ethan Hunt continúa su...",3.94
"Usuario: Me gustan las pelis de acción
Enrique: Otra gran opción sería esta:
""The Great Escape"" (2023)
Género: Acción, Suspense
nan",4.98
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""Misión: Imposible - Sentencia final"" (2025)
Género: Acción, Aventura, Suspense
El agente Ethan Hu...",3.77
"Usuario: Busco algo de acción
Enrique: Otra gran opción sería esta:
""The Great Escape"" (2023)
Género: Acción, Suspense
nan",5.44
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Misión: Imposible - Sentencia final"" (2025)
Género: Acción, Aventura, Suspense
El agente Ethan Hunt continúa su misión ...",3.97
"Usuario: ¿Tienes otra de acción?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""The Great Escape"" (2023)
Género: Acción, Suspense
nan",4.01
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""Tin Soldier"" (2025)
Género: Acción, Suspense
La historia de Tin Soldier nos presenta una especie de culto liderado por The ...",7.59
"Usuario: Busco algo de fantasía
Enrique: Esta otra podría interesarte:
""The Legend of Ochi"" (2025)
Género: Fantasía, Aventura, Familia
Una niña descubre los misterios de la comunicación animal.",6.07
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Tin Soldier"" (2025)
Género: Acción, Suspense
La historia de Tin Soldier nos presenta una especie de culto liderado por ...",7.17
"Usuario: Me gustan las pelis de fantasía
Enrique: Esta otra podría interesarte:
""The Legend of Ochi"" (2025)
Género: Fantasía, Aventura, Familia
Una niña descubre los misterios de la comunicación anima...",5.89
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""Tin Soldier"" (2025)
Género: Acción, Suspense
La historia de Tin Soldier nos presenta una especie de culto liderado por The ...",7.59
"Usuario: ¿Tienes otra de fantasía?
Enrique: Otra gran opción sería esta:
""The Legend of Ochi"" (2025)
Género: Fantasía, Aventura, Familia
Una niña descubre los misterios de la comunicación animal.",5.6
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""Thunderbolts*"" (2025)
Género: Acción, Ciencia ficción, Aventura
Un grupo de supervillanos y antih...",3.36
"Usuario: Me gustan las pelis de terror
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Until Dawn"" (2025)
Género: Terror, Misterio
Un año después de la misteriosa desaparición de su her...",4.62
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Thunderbolts*"" (2025)
Género: Acción, Ciencia ficción, Aventura
Un grupo de supervillanos y antihéroes van en m...",3.43
"Usuario: Me gustan las pelis de terror
Enrique: Esta otra podría interesarte:
""Until Dawn"" (2025)
Género: Terror, Misterio
Un año después de la misteriosa desaparición de su hermana Melanie, Clover y ...",4.97
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Thunderbolts*"" (2025)
Género: Acción, Ciencia ficción, Aventura
Un grupo de supervillanos y antihéroes van en misiones ...",3.47
"Usuario: ¿Tienes otra de terror?
Enrique: Otra gran opción sería esta:
""Until Dawn"" (2025)
Género: Terror, Misterio
Un año después de la misteriosa desaparición de su hermana Melanie, Clover y sus ami...",4.92
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Bambi, una vida en el bosque"" (2024)
Género: Aventura, Familia, Documental
Adaptación del libro “Bambi, la histo...",4.8
"Usuario: ¿Tienes otra de suspense?
Enrique: Esta otra podría interesarte:
""Extraterritorial"" (2025)
Género: Suspense, Acción
Cuando su hijo desaparece en un consulado de EE. UU., una exsoldado de las ...",5.15
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Bambi, una vida en el bosque"" (2024)
Género: Aventura, Familia, Documental
Adaptación del libro “Bambi, la hist...",4.85
"Usuario: Me gustan las pelis de suspense
Enrique: Esta otra podría interesarte:
""Extraterritorial"" (2025)
Género: Suspense, Acción
Cuando su hijo desaparece en un consulado de EE. UU., una exsoldado d...",5.22
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Bambi, una vida en el bosque"" (2024)
Género: Aventura, Familia, Documental
Adaptación ...",4.51
"Usuario: Me gustan las pelis de suspense
Enrique: Esta otra podría interesarte:
""Extraterritorial"" (2025)
Género: Suspense, Acción
Cuando su hijo desaparece en un consulado de EE. UU., una exsoldado d...",5.22
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""La bala perdida 3"" (2025)
Género: Acción, Crimen, Suspense, Drama
Lino, que acaba de s...",6.61
"Usuario: Busco algo de acción
Enrique: Otra gran opción sería esta:
""Mujer Valiente"" (2023)
Género: Acción, Drama, Comedia
Es una película de acción de héroes orientada a la vida que cuenta la histori...",6.3
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""La bala perdida 3"" (2025)
Género: Acción, Crimen, Suspense, Drama
Lino, que acaba de salir de la cárcel, solo tiene un obje...",7.79
"Usuario: ¿Tienes otra de acción?
Enrique: Otra gran opción sería esta:
""Mujer Valiente"" (2023)
Género: Acción, Drama, Comedia
Es una película de acción de héroes orientada a la vida que cuenta la hist...",5.98
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""La bala perdida 3"" (2025)
Género: Acción, Crimen, Suspense, Drama
Lino, que acaba de salir de la cárcel, solo ti...",7.11
"Usuario: Me gustan las pelis de acción
Enrique: Otra gran opción sería esta:
""Mujer Valiente"" (2023)
Género: Acción, Drama, Comedia
Es una película de acción de héroes orientada a la vida que cuenta l...",5.98
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""Tierras perdidas"" (2025)
Género: Acción, Fantasía, Aventura
Basada en el relato de George R. R. Martin. Una reina (Amara Ok...",5.05
"Usuario: ¿Tienes otra de terror?
Enrique: Esta otra podría interesarte:
""The Haunting at Saint Joseph's"" (2023)
Género: Terror, Suspense
nan",4.47
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Tierras perdidas"" (2025)
Género: Acción, Fantasía, Aventura
Basada en el relato de George R. R. Martin. Una reina (Amar...",4.86
"Usuario: Me gustan las pelis de terror
Enrique: Esta otra podría interesarte:
""The Haunting at Saint Joseph's"" (2023)
Género: Terror, Suspense
nan",4.52
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Tierras perdidas"" (2025)
Género: Acción, Fantasía, Aventura
Basada en el relato de George R. R. Martin. Una reina (...",5.06
"Usuario: Busco algo de terror
Enrique: Otra gran opción sería esta:
""The Haunting at Saint Joseph's"" (2023)
Género: Terror, Suspense
nan",4.87
"Usuario: ¿Qué película me recomiendas?
Enrique: Aquí tienes una buena para empezar:
""Capitán América: Brave New World"" (2025)
Género: Acción, Suspense, Ciencia ficción
Tras reunirse con el recién eleg...",5.36
"Usuario: Me gustan las pelis de terror
Enrique: Esta otra podría interesarte:
""Expediente Bryson: Conjuring the Cult"" (2024)
Género: Terror, Drama
Después de descubrir a su hija empapada de sangre mue...",5.91
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""Capitán América: Brave New World"" (2025)
Género: Acción, Suspense, Ciencia ficción
Tras reuni...",4.57
"Usuario: ¿Tienes otra de terror?
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Expediente Bryson: Conjuring the Cult"" (2024)
Género: Terror, Drama
Después de descubrir a su hija empap...",5.32
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""Capitán América: Brave New World"" (2025)
Género: Acción, Suspense, Ciencia ficción
Tras reuni...",4.57
"Usuario: Busco algo de terror
Enrique: Esta otra podría interesarte:
""Expediente Bryson: Conjuring the Cult"" (2024)
Género: Terror, Drama
Después de descubrir a su hija empapada de sangre muerta en la...",6.04
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""La calle del terror: La reina del baile"" (2025)
Género: Terror, Suspense
¿Quién será la reina del baile de 1988 ...",5.8
"Usuario: Busco algo de acción
Enrique: Otra gran opción sería esta:
""El ladrón de joyas"" (2025)
Género: Acción, Suspense
En este explosivo duelo de astucia y estrategia, el hábil estafador Rehan plani...",5.97
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""La calle del terror: La reina del baile"" (2025)
Género: Terror, Suspense
¿Quién será la reina del baile de 1988...",6.17
"Usuario: ¿Tienes otra de acción?
Enrique: Otra gran opción sería esta:
""El ladrón de joyas"" (2025)
Género: Acción, Suspense
En este explosivo duelo de astucia y estrategia, el hábil estafador Rehan pl...",5.6
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""La calle del terror: La reina del baile"" (2025)
Género: Terror, Suspense
¿Quién será la reina del...",5.87
"Usuario: Me gustan las pelis de acción
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""El ladrón de joyas"" (2025)
Género: Acción, Suspense
En este explosivo duelo de astucia y estrategi...",5.13
"Usuario: Recomiéndame una peli
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Los pecadores"" (2025)
Género: Terror, Suspense
Tratando de dejar atrás sus problemáticas vidas, dos hermanos gem...",4.06
"Usuario: Busco algo de comedia
Enrique: Otra gran opción sería esta:
""లైలా"" (2025)
Género: Comedia, Romance
nan",4.73
"Usuario: Recomiéndame una peli
Enrique: Empiezo por una que suele gustar mucho:
""Los pecadores"" (2025)
Género: Terror, Suspense
Tratando de dejar atrás sus problemáticas vidas, dos hermanos gemelos re...",4.3
"Usuario: Busco algo de comedia
Enrique: Otra gran opción sería esta:
""లైలా"" (2025)
Género: Comedia, Romance
nan",4.73
"Usuario: ¿Qué película me recomiendas?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Los pecadores"" (2025)
Género: Terror, Suspense
Tratando de dejar atrás sus problemáticas vidas, dos herm...",4.03
"Usuario: ¿Tienes otra de comedia?
Enrique: Esta otra podría interesarte:
""లైలా"" (2025)
Género: Comedia, Romance
nan",4.33
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Empiezo por una que suele gustar mucho:
""Estragos"" (2025)
Género: Acción, Crimen, Suspense
Cuando un robo de drogas tiene consecuencia...",4.12
"Usuario: Me gustan las pelis de western
Enrique: Otra gran opción sería esta:
""Rust"" (2025)
Género: Western
Harland Rust tiene la mala reputación de fuera de la ley despiadado, con precio por su cabez...",6.1
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: ¡Claro! Mientras me cuentas más, te dejo esta:
""Estragos"" (2025)
Género: Acción, Crimen, Suspense
Cuando un robo de drogas tiene conse...",4.0
"Usuario: Me gustan las pelis de western
Enrique: ¡Perfecto! Entonces también podrías probar con esta:
""Rust"" (2025)
Género: Western
Harland Rust tiene la mala reputación de fuera de la ley despiadado,...",5.56
"Usuario: ¿Qué película me recomiendas?
Enrique: Empiezo por una que suele gustar mucho:
""Estragos"" (2025)
Género: Acción, Crimen, Suspense
Cuando un robo de drogas tiene consecuencias fatales, un poli...",4.71
"Usuario: Busco algo de western
Enrique: Otra gran opción sería esta:
""Rust"" (2025)
Género: Western
Harland Rust tiene la mala reputación de fuera de la ley despiadado, con precio por su cabeza. Cuando...",6.19
"Usuario: Recomiéndame una peli
Enrique: Aquí tienes una buena para empezar:
""From the Shadows"" (2023)
Género: Suspense, Ciencia ficción, Terror
nan",5.18
"Usuario: ¿Tienes otra de animación?
Enrique: Esta otra podría interesarte:
""Vaiana 2"" (2024)
Género: Animación, Aventura, Familia, Comedia
Tras recibir una inesperada llamada de sus antepasados, Vaian...",4.98
"Usuario: Estoy buscando algo para ver, ¿qué me sugieres?
Enrique: Aquí tienes una buena para empezar:
""From the Shadows"" (2023)
Género: Suspense, Ciencia ficción, Terror
nan",4.19
"Usuario: ¿Tienes otra de animación?
Enrique: Otra gran opción sería esta:
""Vaiana 2"" (2024)
Género: Animación, Aventura, Familia, Comedia
Tras recibir una inesperada llamada de sus antepasados, Vaiana...",4.86
