texto,etiqueta
Quiero saber las palabras clave de: Los árboles crecen en primavera.,extraer_palabras_clave
Extrae las palabras más importantes de esta frase: El cielo es azul y los pájaros cantan.,extraer_palabras_clave
Sugiéreme una película clásica,recomendar_contenido
Dame una serie de ciencia ficción,recomendar_contenido
¿Qué serie me sugieres para ver en Netflix,recomendar_contenido
"Quiero ver algo divertido, ¿qué me das?",recomendar_contenido
¿Qué documental interesante hay?.,recomendar_contenido
¿Qué puedo ver en Amazon Prime,recomendar_contenido
¿Puedes decirme qué funciones tienes?.,chatbot_info
"Frase: Hoy cociné una lasaña deliciosa, ¿cuáles son las palabras clave",extraer_palabras_clave
¿Eres un robot?,chatbot_info
Texto: El sol brilla intensamente en verano,extraer_palabras_clave
¿Qué me recomiendas si me gusta la acción?,recomendar_contenido
Palabras clave de esta frase: La medicina moderna ha salvado muchas vidas,extraer_palabras_clave
¿Qué película animada me sugieres?,recomendar_contenido
¿Tienes alguna especialidad?.,chatbot_info
¿Qué palabras son clave en esta oración: Estoy escribiendo una novela de fantasía,extraer_palabras_clave
¿Cuál es tu objetivo?,chatbot_info
"Frase: El gato duerme en la silla, ¿cuáles son las palabras más importantes?.",extraer_palabras_clave
¿Puedes decirme qué funciones tienes?.,chatbot_info
Películas de terror recomendadas,recomendar_contenido
¿Qué palabras clave hay en esta oración: Me encanta leer libros de ciencia ficción,extraer_palabras_clave
Una buena película para ver con amigos,recomendar_contenido
Palabras clave de este mensaje: El café caliente me despierta por la mañana,extraer_palabras_clave
Películas de terror recomendadas,recomendar_contenido
Extrae las palabras más importantes de esta oración: Ayer visité un museo de historia,extraer_palabras_clave
¿Cuáles son tus habilidades?,chatbot_info
¿Eres una inteligencia artificial?,chatbot_info
Dime qué es importante en esta frase: El internet es esencial en nuestra vida diaria.,extraer_palabras_clave
Recomiéndame una película de acción,recomendar_contenido
Palabras clave de: Me gusta caminar por la playa al atardecer,extraer_palabras_clave
Frase para analizar: Las plantas necesitan agua y luz para crecer,extraer_palabras_clave
¿Puedes explicarme qué haces,chatbot_info
¿Cuál es tu trabajo,chatbot_info
Palabras clave: Los niños juegan en el parque después de la escuela.,extraer_palabras_clave
¿Qué serie me sugieres para ver en Netflix?,recomendar_contenido
¿Cuál es tu trabajo,chatbot_info
¿Qué me recomiendas si me gusta la acción,recomendar_contenido
¿Qué tareas puedes realizar?,chatbot_info
¿Puedes aprender cosas nuevas,chatbot_info
¿Puedes hablar de ti mismo,chatbot_info
¿Cuál es tu función principal?,chatbot_info
¿Qué puedes hacer?.,chatbot_info
Películas que valgan la pena ver,recomendar_contenido
¿Puedes decirme qué funciones tienes?,chatbot_info
¿Qué me recomiendas para ver este fin de semana?,recomendar_contenido
¿Qué tipo de cosas sabes hacer,chatbot_info
Explícame qué eres,chatbot_info
Recomiéndame una serie corta,recomendar_contenido
¿Qué tipo de cosas sabes hacer,chatbot_info
¿Qué idiomas hablas?.,chatbot_info
¿Puedes explicarme qué haces?.,chatbot_info
¿Cómo te describirías?,chatbot_info
¿Tienes nombre,chatbot_info
